AMP,RMS,ZCR,FREQ. RANGE,TIME DECAY,SOURCE,CLASS
0.09629648,0.035454486,2209,Mid,Fast,Acoustic,SNARE
0.14443885,0.0804064,435,Mid,Fast,Acoustic,SNARE
0.14092356,0.05467592,1289,Mid,Fast,Acoustic,SNARE
0.15506515,0.0713904,870,Mid,Fast,Acoustic,SNARE
0.05800011,0.02403198,4840,Mid,Fast,Acoustic,SNARE
0.050325666,0.023323063,752,Mid,Fast,Acoustic,SNARE
0.07197135,0.029917073,2600,Mid,Fast,Acoustic,SNARE
0.10421244,0.042399712,2087,Mid,Fast,Acoustic,SNARE
0.12544723,0.051652305,1525,Mid,Fast,Acoustic,SNARE
0.060086567,0.025800651,2363,Mid,Fast,Acoustic,SNARE
0.05360921,0.031814944,686,Mid,Fast,Acoustic,SNARE
0.13174002,0.052645933,4474,Mid,Fast,Acoustic,SNARE
0.11455463,0.046222597,3288,Mid,Fast,Acoustic,SNARE
0.06468782,0.03190682,2412,Mid,Fast,Acoustic,SNARE
0.06832341,0.026278907,6643,Mid,Fast,Acoustic,SNARE
0.078930445,0.029502355,4436,Mid,Fast,Acoustic,SNARE
0.13093276,0.058348972,4263,Mid,Fast,Acoustic,SNARE
0.069257826,0.03477661,2442,Mid,Fast,Acoustic,SNARE
0.0876443,0.039937243,2730,Mid,Fast,Acoustic,SNARE
0.19214465,0.07045887,4876,Mid,Fast,Acoustic,SNARE
0.18912905,0.07797614,4077,Mid,Fast,Acoustic,SNARE
0.12655595,0.059495583,2489,Mid,Fast,Acoustic,SNARE
0.18339454,0.0724126,5072,Mid,Fast,Acoustic,SNARE
0.15981306,0.05841962,4310,Mid,Fast,Acoustic,SNARE
0.173957,0.066942096,4186,Mid,Fast,Acoustic,SNARE
0.22587717,0.08765052,2350,Mid,Fast,Acoustic,SNARE
0.193522,0.06965512,4156,Mid,Fast,Acoustic,SNARE
0.20159908,0.09158414,1516,Mid,Fast,Acoustic,SNARE
0.17729683,0.06705096,6389,Mid,Fast,Acoustic,SNARE
0.19821525,0.071581386,9135,Mid,Fast,Acoustic,SNARE
0.19849783,0.091553025,2437,Mid,Fast,Acoustic,SNARE
0.21188556,0.10398215,1038,Mid,Fast,Acoustic,SNARE
0.23763654,0.090861276,4864,Mid,Fast,Acoustic,SNARE
0.1929434,0.081123024,2054,Mid,Fast,Acoustic,SNARE
0.1423398,0.067702085,1165,Mid,Fast,Acoustic,SNARE
0.28205204,0.11587381,1982,Mid,Fast,Acoustic,SNARE
0.2875965,0.12217563,1798,Mid,Fast,Acoustic,SNARE
0.26402754,0.13076162,2310,Mid,Fast,Acoustic,SNARE
0.21224257,0.09331555,3038,Mid,Fast,Acoustic,SNARE
0.21455128,0.10620475,1004,Mid,Fast,Acoustic,SNARE
0.16202505,0.0757786,3423,Mid,Fast,Acoustic,SNARE
0.27950287,0.1344185,1134,Mid,Fast,Acoustic,SNARE
0.18172607,0.08321809,1593,Mid,Fast,Acoustic,SNARE
0.35931855,0.12472893,4319,Mid,Fast,Acoustic,SNARE
0.19611242,0.07800103,4035,Mid,Fast,Acoustic,SNARE
0.175029,0.07270725,2572,Mid,Fast,Acoustic,SNARE
0.14060433,0.05780379,5654,Mid,Fast,Acoustic,SNARE
0.18726112,0.07503723,1436,Mid,Fast,Acoustic,SNARE
0.29408756,0.1432311,3227,Mid,Fast,Acoustic,SNARE
0.2667889,0.12239238,1323,Mid,Fast,Acoustic,SNARE
0.29049763,0.11288061,1589,Mid,Fast,Acoustic,SNARE
0.46257436,0.24267977,732,Mid,Fast,Acoustic,SNARE
0.2951912,0.1527585,1433,Mid,Fast,Acoustic,SNARE
0.3461035,0.17277987,1342,Mid,Fast,Acoustic,SNARE
0.54456955,0.26165956,1046,Mid,Fast,Acoustic,SNARE
0.2722346,0.13149752,400,Mid,Fast,Acoustic,SNARE
0.22015433,0.09529437,4473,Mid,Fast,Acoustic,SNARE
0.1249239,0.05318979,7007,Mid,Fast,Natural,CLAP
0.092660315,0.035474304,9344,Mid,Fast,Natural,CLAP
0.17581442,0.07397588,1380,Mid,Fast,Natural,CLAP
0.17783338,0.09195255,5513,Mid,Fast,Natural,CLAP
0.24130115,0.083814606,1509,Mid,Fast,Natural,CLAP
0.3881981,0.16168468,3320,Mid,Fast,Natural,CLAP
0.16104126,0.062273465,1758,Mid,Fast,Natural,CLAP
0.16779949,0.058688153,3375,Mid,Fast,Natural,CLAP
0.12394394,0.044214003,3135,Mid,Fast,Natural,CLAP
0.1115959,0.03996651,3024,Mid,Fast,Natural,CLAP
0.1432751,0.04805885,3022,Mid,Fast,Natural,CLAP
0.12985964,0.059406377,3853,Mid,Fast,Natural,CLAP
0.14150676,0.05785215,5254,Mid,Fast,Natural,CLAP
0.16367306,0.0834197,4959,Mid,Fast,Natural,CLAP
0.8087221,0.3995412,1174,Mid,Fast,Natural,CLAP
0.08869362,0.03343276,4177,Mid,Fast,Natural,CLAP
0.23545074,0.0808992,2238,Mid,Fast,Natural,CLAP
0.06758213,0.032548744,4947,Mid,Fast,Natural,CLAP
0.117707826,0.047739305,6020,Mid,Fast,Natural,CLAP
0.14125608,0.057833347,2993,Mid,Fast,Natural,CLAP
0.581579,0.2401509,1570,Mid,Fast,Natural,CLAP
0.12855084,0.04400546,3473,Mid,Fast,Natural,CLAP
0.31054565,0.12624818,1366,Mid,Fast,Natural,CLAP
0.17735626,0.08111921,2574,Mid,Fast,Natural,CLAP
0.11386368,0.038413875,2730,Mid,Fast,Natural,CLAP
0.114608765,0.041732624,3490,Mid,Fast,Natural,CLAP
0.13117711,0.039818607,1448,Mid,Fast,Natural,CLAP
0.22727585,0.06652736,1245,Mid,Fast,Natural,CLAP
0.08527154,0.024363108,3279,Mid,Fast,Natural,CLAP
0.13471985,0.043630794,2771,Mid,Fast,Natural,CLAP
0.19545688,0.060439043,429,Mid,Fast,Natural,CLAP
0.17798556,0.061096285,420,Mid,Fast,Natural,CLAP
0.10645379,0.03889726,379,Mid,Fast,Natural,CLAP
0.107298955,0.030941173,5289,Mid,Fast,Natural,CLAP
0.058558773,0.018428696,3290,Mid,Fast,Natural,CLAP
0.24477047,0.049118143,966,Mid,Fast,Natural,CLAP
0.26406097,0.06565043,728,Mid,Fast,Natural,CLAP
0.16480364,0.05450391,1034,Mid,Fast,Natural,CLAP
0.06395879,0.020226358,5864,Mid,Fast,Natural,CLAP
0.16793899,0.05607134,827,Mid,Fast,Natural,CLAP
0.17471549,0.059507925,322,Mid,Fast,Natural,CLAP
0.3751983,0.1242959,2862,Mid,Fast,Natural,CLAP
0.08239833,0.024273317,1335,Mid,Fast,Natural,CLAP
0.046900783,0.013185839,6745,Mid,Fast,Natural,CLAP
0.09758986,0.032018494,2368,Mid,Fast,Natural,CLAP
0.12401757,0.04307933,7264,Mid,Fast,Natural,CLAP
0.117971145,0.050819196,2006,Mid,Fast,Natural,CLAP
0.18020274,0.07221792,3353,Mid,Fast,Natural,CLAP
0.08782716,0.037650753,7128,Mid,Fast,Natural,CLAP
0.07153414,0.03581202,3280,Mid,Fast,Natural,CLAP
0.19764432,0.106323116,1948,Mid,Fast,Natural,CLAP
0.15053265,0.060103476,5109,Mid,Fast,Natural,CLAP
0.13239034,0.05124897,1962,Mid,Fast,Natural,CLAP
0.19236374,0.06033548,4969,Mid,Fast,Natural,CLAP
0.17318529,0.06700316,1332,Mid,Fast,Natural,CLAP
0.09185621,0.044429846,3405,Mid,Fast,Natural,CLAP
0.15053059,0.06243985,5769,Mid,Fast,Natural,CLAP
0.15340838,0.07424574,2906,Mid,Fast,Natural,CLAP
0.16628985,0.0941566,1695,Mid,Fast,Natural,CLAP
0.2617908,0.09828217,889,Mid,Fast,Natural,CLAP
0.12749052,0.052963793,2406,Mid,Fast,Natural,CLAP
0.16477537,0.056142744,2418,Mid,Fast,Natural,CLAP
0.19488199,0.06874605,2474,Mid,Fast,Natural,CLAP
0.21062168,0.063775994,1995,Mid,Fast,Natural,CLAP
0.18319985,0.06595674,2735,Mid,Fast,Natural,CLAP
0.13159834,0.045972932,2555,Mid,Fast,Natural,CLAP
0.06499841,0.022708919,6569,Mid,Fast,Natural,CLAP
0.05651943,0.016459242,8365,Mid,Fast,Natural,CLAP
0.054154847,0.014743087,6488,Mid,Fast,Natural,CLAP
0.03602705,0.010925326,5292,Mid,Fast,Natural,CLAP
0.05549902,0.014159915,6391,Mid,Fast,Natural,CLAP
0.04872605,0.016314235,4003,Mid,Fast,Natural,CLAP
0.062450714,0.020975353,2020,Mid,Fast,Natural,CLAP
0.049147684,0.012875423,3351,Mid,Fast,Natural,CLAP
0.04114664,0.011540654,1236,Mid,Fast,Natural,CLAP
0.08064147,0.0218949,5557,Mid,Fast,Natural,CLAP
0.10902588,0.036672156,2899,Mid,Fast,Natural,CLAP
0.15669818,0.04074609,3562,Mid,Fast,Natural,CLAP
0.1430573,0.053243086,2873,Mid,Fast,Natural,CLAP
0.11423706,0.043374687,5010,Mid,Fast,Natural,CLAP
0.13083239,0.0497702,3405,Mid,Fast,Natural,CLAP
0.08528016,0.025679665,2897,Mid,Fast,Natural,CLAP
0.10809186,0.035717342,2195,Mid,Fast,Natural,CLAP
0.28399944,0.096792266,3658,Mid,Fast,Natural,CLAP
0.19082548,0.061582502,3203,Mid,Fast,Natural,CLAP
0.097265266,0.029469807,3114,Mid,Fast,Natural,CLAP
0.12768826,0.045001335,3545,Mid,Fast,Natural,CLAP
0.12198599,0.03984531,4942,Mid,Fast,Natural,CLAP
0.0850294,0.032838833,4101,Mid,Fast,Natural,CLAP
0.15605643,0.06376392,2413,Mid,Fast,Natural,CLAP
0.14214544,0.051373497,1717,Mid,Fast,Natural,CLAP
